event_id,event_date,landslide_category,landslide_trigger,landslide_size,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count,injury_count
5512,9/12/2013 0:00,mudslide,downpour,medium,14206,27.81611,-115.5397,43.3575,0,
3450,5/3/2011 9:00,mudslide,downpour,medium,4407,1.27755,-84.5609,39.0973,0,
6800,2/21/2015 0:00,mudslide,downpour,small,15228,0.78594,153.0551,-26.6913,0,0
2673,10/31/2010 23:00,landslide,downpour,medium,20435,2.64264,9.9381,44.0928,0,
5506,9/12/2013 23:00,mudslide,downpour,medium,1094,30.39279,-110.1938,42.2872,0,
4123,12/30/2011 0:00,landslide,downpour,small,1045,18.24607,-122.7513,44.081,0,
8067,12/17/2015 7:53,landslide,unknown,unknown,2038,29.99038,-121.8784,44.4216,0,0
1603,3/30/2010 7:19,mudslide,downpour,small,195976,3.28687,-73.9141,40.904,0,
6088,6/23/2014 0:00,mudslide,downpour,medium,6661,7.02197,-93.8473,44.594,0,0
5831,1/31/2014 15:00,landslide,downpour,medium,2562,0.96139,-1.2827,50.9115,0,0
4162,1/22/2012 0:00,mudslide,rain,medium,4584,20.0813,-123.617,44.5694,0,
336,10/30/2007 0:00,landslide,rain,medium,19962,5.01776,77.1236,11.2777,2,
8143,12/2/2015 10:19,landslide,unknown,unknown,1737,3.09111,-123.2351,46.1209,0,0
8048,12/19/2015 13:10,landslide,unknown,unknown,1737,8.63745,-123.2443,46.028,0,0
1502,2/14/2010 0:00,landslide,downpour,medium,11107,1.08858,26.5736,42.175,0,
5541,9/16/2013 0:00,landslide,tropical_cyclone,medium,5745,9.85736,-84.1489,10.1528,0,
3896,8/7/2011 0:00,landslide,downpour,medium,59437,1.55505,76.5289,9.5988,1,
27,2/15/2007 0:00,landslide,rain,medium,1465,0.67264,-121.895,45.6993,,
5494,9/11/2013 23:40,landslide,downpour,medium,24071,3.71986,100.2743,5.4661,0,
1940,6/4/2010 0:00,landslide,downpour,medium,0,5.87541,140.5146,-2.516,1,
1808,5/2/2010 0:00,landslide,downpour,medium,7720,11.67837,-86.992,35.9862,0,
6076,6/19/2014 19:00,mudslide,continuous_rain,medium,382578,2.50336,-93.2365,44.9683,0,0
6659,7/31/2014 5:00,rock_fall,unknown,small,251648,2.1773,-77.0252,-12.1456,0,0
4914,6/12/2013 22:00,landslide,downpour,medium,17123,8.41608,78.5306,30.7394,0,
4194,2/14/2012 8:00,landslide,downpour,medium,48638,5.89343,123.9075,10.3968,2,
4060,11/23/2011 0:00,landslide,downpour,medium,1473,0.22972,15.4337,38.1944,3,
945,12/22/2008 0:00,landslide,downpour,medium,0,131.60974,116.3816,1.3542,,
4652,12/4/2012 0:00,mudslide,tropical_cyclone,very_large,3299,4.70778,126.1847,7.4649,430,
9186,7/25/2016 12:30,landslide,continuous_rain,medium,92113,21.74404,94.1383,25.48,0,1
7957,3/18/2016 21:46,landslide,unknown,unknown,3205,54.02541,-122.4197,43.2612,0,0
7444,10/29/2015 0:00,landslide,rain,medium,26047,0.72957,-84.0879,9.9574,0,0
1968,6/14/2010 0:00,landslide,downpour,medium,105682,10.18772,120.704,23.8314,0,
509,4/25/2008 0:00,mudslide,rain,small,27592,1.7294,-91.6396,44.0344,,
7989,2/13/2016 10:33,landslide,unknown,unknown,2344,2.91647,-122.8771,45.9952,0,0
8160,11/1/2015 0:41,landslide,unknown,unknown,15962,2.93279,-122.3695,45.5161,0,0
5412,8/28/2013 23:00,rock_fall,downpour,small,6922,6.8519,18.3653,-34.0746,0,
3742,7/7/2011 0:00,landslide,rain,medium,3178,1.49576,9.2572,46.0161,0,
8955,11/16/2015 0:00,landslide,unknown,small,39218,10.8974,91.7783,25.0821,1,0
3318,3/29/2011 0:00,mudslide,downpour,medium,6911,2.12876,-121.0386,39.1265,0,
5641,11/14/2013 0:00,landslide,downpour,medium,17000,3.88123,-60.7582,11.2084,0,
1216,10/3/2009 0:00,landslide,tropical_cyclone,medium,28407,2.43647,120.689,16.3452,7,
1724,4/6/2010 0:00,landslide,downpour,medium,456456,0.59395,-43.103,-22.878,0,
9236,6/3/2016 8:00,riverbank_collapse,rain,medium,7978,0.62512,-97.7881,32.4399,0,0
2878,12/22/2010 0:00,mudslide,downpour,medium,24917,5.82178,-117.7349,33.7465,0,
8009,1/19/2016 13:13,landslide,unknown,unknown,8466,19.84071,-124.1148,44.1609,0,0
6934,3/30/2015 0:00,landslide,continuous_rain,medium,4690,9.14912,74.5915,34.0096,0,0
5714,12/23/2013 9:00,landslide,continuous_rain,medium,0,9.19755,103.1612,22.7559,4,1
1077,8/10/2009 0:00,landslide,tropical_cyclone,medium,639652,1.5967,133.9195,34.6551,1,
3579,6/8/2011 0:00,landslide,downpour,medium,17748,10.82659,75.4325,33.1289,4,
7690,8/15/2015 0:00,riverbank_collapse,downpour,small,0,6.59646,105.5845,20.8938,0,0
818,9/20/2008 0:00,landslide,downpour,medium,92294,32.67517,80.67774011,29.11803174,5,
6489,12/11/2014 0:00,debris_flow,continuous_rain,medium,1385,0.99865,-123.2257,49.4567,0,0
6561,12/16/2014 9:00,rock_fall,unknown,small,154637,2.32597,-123.0521,44.9258,0,1
7153,4/10/2015 0:00,landslide,continuous_rain,small,1482,4.71099,-80.6534,40.2278,0,0
6100,6/23/2014 0:00,landslide,continuous_rain,medium,5827,32.96402,-84.79,12.3476,0,0
808,9/23/2008 0:00,landslide,tropical_cyclone,medium,7491,2.98965,120.66,16.39,,
9657,10/20/2016 0:00,landslide,tropical_cyclone,medium,0,12.55228,120.9878,16.7133,0,0
2529,10/1/2010 9:30,mudslide,downpour,small,1126,5.48538,-71.9691,44.1473,0,
5107,7/15/2013 0:00,landslide,rain,medium,92113,5.30049,94.1139,25.6269,0,
8461,8/1/2013 20:29,landslide,unknown,unknown,839,42.73321,-116.8583,44.9719,0,0
7566,3/13/2016 0:00,landslide,rain,small,1224,0.28964,-121.1358,38.8758,0,0
7768,8/28/2015 0:00,rock_fall,unknown,medium,1079,4.54342,-82.7511,37.7306,0,0
5995,4/15/2014 12:00,landslide,rain,medium,5706,21.08993,-74.4678,45.9111,0,0
5895,2/23/2014 12:00,landslide,unknown,medium,1296,18.55899,-4.8893,56.2453,0,0
1783,4/25/2010 9:00,landslide,downpour,medium,33371,4.30409,-117.805,34.0679,0,
5113,7/16/2013 22:00,mudslide,rain,small,47407,1.7526,-111.8509,40.4074,0,
6792,2/22/2015 20:30,mudslide,mining,medium,39218,13.78623,91.7483,25.1472,4,0
1579,3/18/2010 0:00,landslide,downpour,small,3944,11.83863,-83.6643,35.6733,0,
7253,7/22/2015 0:00,landslide,continuous_rain,medium,12871,1.31262,92.9974,24.7979,5,0
11,1/13/2007 0:00,landslide,downpour,medium,51559,2.42905,-0.154356568,51.28876789,,
9608,12/31/2015 0:00,landslide,tropical_cyclone,medium,3747,9.80627,-2.3389,57.6717,0,0
4110,12/26/2011 0:00,landslide,continuous_rain,medium,1138,7.67059,13.435,54.6801,1,
8436,9/29/2013 22:07,landslide,unknown,unknown,2038,35.81135,-121.9948,44.3298,0,0
1089,8/16/2009 1:30,landslide,downpour,medium,515574,11.12389,88.363,26.7914,4,
6807,2/27/2015 15:00,complex,downpour,medium,3516,9.57255,0.0161,43.0204,0,0
7310,8/15/2015 0:00,landslide,continuous_rain,medium,7725,16.22059,78.3299,30.9085,0,0
5339,8/17/2013 1:50,landslide,tropical_cyclone,medium,0,18.61764,111.0843,23.5134,1,
3668,6/29/2011 0:00,landslide,downpour,medium,32442,26.07261,79.9298,29.607,0,
2431,9/15/2010 0:00,landslide,downpour,medium,36502,9.40031,103.9155,22.4179,0,
1919,5/30/2010 0:00,landslide,tropical_cyclone,large,994938,4.0793,-90.5276,14.6066,17,
6932,3/23/2015 0:00,landslide,continuous_rain,medium,6755,1.39111,74.0357,34.0796,0,0
4690,12/29/2012 13:00,landslide,rain,large,24661,20.35651,35.56563507,0.770919162,3,
1750,4/14/2010 0:00,landslide,downpour,medium,3370,8.14243,45.0619,40.7944,0,
5212,7/27/2013 23:00,mudslide,rain,small,40010,0.9757,-81.3408,35.7244,0,
1598,3/27/2010 18:00,landslide,downpour,medium,0,17.58609,102.4206,-3.6945,0,
4325,4/16/2012 0:00,landslide,unknown,medium,17748,0.33885,75.5488,33.1467,1,
6483,8/12/2014 15:15,debris_flow,downpour,medium,1191,28.97111,-121.0489,46.6752,0,0
5567,9/30/2013 0:00,landslide,unknown,medium,17123,18.88181,78.3154,30.6004,1,
1249,10/9/2009 0:00,landslide,tropical_cyclone,large,41258,1.86793,120.5746,16.4664,104,
2778,12/1/2010 0:00,mudslide,downpour,medium,1963,4.04646,-120.9276,39.1312,0,
7773,8/30/2015 0:00,debris_flow,downpour,medium,1520,47.20263,-111.3112067,37.11344851,0,0
624,7/1/2008 0:00,landslide,downpour,large,0,14.68259,103.49,31.07,,
2466,9/19/2010 0:00,landslide,downpour,medium,5215,2.82492,76.9576,30.8741,0,
8215,1/18/2015 3:54,landslide,unknown,unknown,22068,3.0834,-122.9363,45.3098,0,0
7968,3/13/2016 11:53,landslide,unknown,unknown,4561,21.8388,-123.5777,44.158,0,0
472,3/5/2008 0:00,landslide,rain,medium,53177,17.34318,-76.1311,-9.2114,7,
6260,4/30/2014 0:00,debris_flow,rain,medium,2830,22.92894,-118.8419,50.6082,0,0
9129,12/28/2015 9:00,landslide,continuous_rain,small,12355,2.79796,-97.2405,32.6791,0,0
466,2/25/2008 0:00,landslide,rain,small,15589,1.85635,121.0922,14.6394,2,
8346,3/18/2014 18:17,landslide,unknown,unknown,9477,4.44319,-123.7746,46.1951,0,0
7940,9/3/2015 0:00,landslide,unknown,medium,28197,17.93533,74.2525,33.6794,1,1
7351,7/26/2015 0:00,landslide,rain,small,5566,1.08203,-6.2546,55.2115,0,0
6548,8/21/2014 0:00,mudslide,downpour,small,2157,2.38237,-113.9251,46.8875,0,0
8652,3/14/2012 13:18,landslide,unknown,unknown,2045,8.02604,-123.9584,44.8859,0,0
5035,7/5/2013 23:30,landslide,downpour,medium,1932,10.78115,-111.6788,40.5765,0,
513,4/29/2008 0:00,mudslide,rain,small,1706,8.22364,-117.8532,50.3162,,
